name,quantity_type,catalog_name,catalog_symbol,rp66_symbol,base_unit,a,b,c,d,
inverse henry,reluctance,POSC,1/H,1/H,1/H,0,1.4095628066752 ,1,0,
per degree Celsius,volumetric thermal expansion,POSC,1/degC,1/degC,1/K,0,1,1,0,
per degree Fahrenheit,volumetric thermal expansion,POSC,1/degF,1/degF,1/K,0,9,5,0,
per degree Rankine,volumetric thermal expansion,POSC,1/degR,1/degR,1/K,0,9,5,0,
per Kelvin,volumetric thermal expansion,POSC,1/K,1/K,1/K,0,1,1,0,
inches/inch degree Fahrenheit,linear thermal expansion,POSC,in/in.degF,in/in.degF,1/K,0,1.8,1,0,
metres/metre Kelvin,linear thermal expansion,POSC,m/m.K,m/m.K,1/K,0,1,1,0,
millimetres/millimetre degree Kelvin,linear thermal expansion,POSC,mm/mm.K,mm/mm.K,1/K,0,1,1,0,
part per million per degree Celsius,volumetric thermal expansion,POSC,ppm/degC,ppm/degC,1/K,0,1.00E-06,1,0,
part per million per degree Fahrenheit,volumetric thermal expansion,POSC,ppm/degF,ppm/degF,1/K,0,1.80E-06,1,0,
per gram,per mass,POSC,1/g,1/g,1/kg,0,1000,1,0,
per kilogram,per mass,POSC,1/kg,1/kg,1/kg,0,1,1,0,
per pound,per mass,POSC,1/lbm,1/lbm,1/kg,0,1,0.453592,0,
per angstrom,per length,POSC,1/angstrom,,1/m,0,1.00E+10,1,0,
per centimetre,per length,POSC,1/cm,1/cm,1/m,0,100,1,0,
per foot,per length,POSC,1/ft,1/ft,1/m,0,1,0.3048,0,
per inch,per length,POSC,1/in,1/in,1/m,0,1,0.0254,0,
per metre,per length,POSC,1/m,1/m,1/m,0,1,1,0,
per mile,per length,POSC,1/mi,1/mi,1/m,0,1,1609.34,0,
per millimetre,per length,POSC,1/mm,1/mm,1/m,0,1000,1,0,
per nanometre,per length,POSC,1/nm,1/nm,1/m,0,1.00E+09,1,0,
per yard,per length,POSC,1/yd,,1/m,0,1,0.9144,0,
barns/cubic centimetre,area per volume,POSC,b/cm3,b/cm3,1/m,0,1.00E+34,1,0,
capture unit,area per volume,POSC,cu,cu,1/m,0,0.1,1,0,
square feet/cubic inch,area per volume,POSC,ft2/in3,ft2/in3,1/m,0,5669.29,1,0,
square metres/cubic centimetre,area per volume,POSC,m2/cm3,m2/cm3,1/m,0,1.00E+06,1,0,
square metres/cubic metre,area per volume,POSC,m2/m3,m2/m3,1/m,0,1,1,0,
capture unit,area per volume,POSC,sigma,cu,1/m,0,0.1,1,0,
per square foot,per area,POSC,1/ft2,1/ft2,1/m2,0,1,0.092903,0,
per square kilometre,per area,POSC,1/km2,1/km2,1/m2,0,1,1.00E+06,0,
per square metre,per area,POSC,1/m2,1/m2,1/m2,0,1,1,0,
per square mile,per area,POSC,1/mi2,1/mi2,1/m2,0,1,2.59E+06,0,
feet/barrel,length per volume,POSC,ft/bbl,ft/bbl,1/m2,0,1.91713,1,0,
feet/cubic foot,length per volume,POSC,ft/ft3,ft/ft3,1/m2,0,10.7639,1,0,
feet/US gallon,length per volume,POSC,ft/galUS,ft/galUS,1/m2,0,80.5196,1,0,
kilometres/cubic decimetre,length per volume,POSC,km/dm3,km/dm3,1/m2,0,1.00E+06,1,0,
kilometres/litre,length per volume,POSC,km/L,km/L,1/m2,0,1.00E+06,1,0,
metres/cubic metre,length per volume,POSC,m/m3,m/m3,1/m2,0,1,1,0,
miles/UK gallon,length per volume,POSC,mi/galUK,mi/galUK,1/m2,0,1609.34,0.00454609,0,
miles/US gallon,length per volume,POSC,mi/galUS,mi/galUS,1/m2,0,1609.34,0.00378541,0,
per barrel,per volume,POSC,1/bbl,1/bbl,1/m3,0,1,0.158987,0,
per cubic foot,per volume,POSC,1/ft3,1/ft3,1/m3,0,1,0.0283169,0,
per UK gallon,per volume,POSC,1/galUK,1/galUK,1/m3,0,1,0.00456092,0,
per US gallon,per volume,POSC,1/galUS,1/galUS,1/m3,0,1,0.00378541,0,
per litre,per volume,POSC,1/L,1/L,1/m3,0,1000,1,0,
per cubic metre,per volume,POSC,1/m3,1/m3,1/m3,0,1,1,0,
per pound force,per force,POSC,1/lbf,1/lbf,1/N,0,1,4.44822,0,
per Newton,per force,POSC,1/N,1/N,1/N,0,1,1,0,
per bar,bulk compressibility,POSC,1/bar,1/bar,1/Pa,0,1.00E-06,1,0,
per kilopascal,bulk compressibility,POSC,1/kPa,1/kPa,1/Pa,0,0.001,1,0,
per Pascal,bulk compressibility,POSC,1/Pa,1/Pa,1/Pa,0,1,1,0,
per pico pascal,bulk compressibility,POSC,1/pPa,1/pPa,1/Pa,0,1.00E+12,1,0,
per pounds/square inch,bulk compressibility,POSC,1/psi,1/psi,1/Pa,0,1,6894.76,0,
per micro pounds per square inch,bulk compressibility,POSC,1/upsi,1/upsi,1/Pa,0,1,0.00689476,0,
per hour,per time,POSC,1/h,1/h,1/s,0,1,3600,0,
per annum,per time,POSC,1/a,1/a,1/s,0,1,3.16E+07,0,
per day,per time,POSC,1/d,1/d,1/s,0,1,86400,0,
per minute,per time,POSC,1/min,1/min,1/s,0,1,60,0,
per second,per time,POSC,1/s,1/s,1/s,0,1,1,0,
per week,per time,POSC,1/wk,,1/s,0,1,604800,0,
barrels/day acre foot,volume per time per volume,POSC,bbl/d.acre.ft,bbl/d.acre.ft,1/s,0,0.158987,1.07E+08,0,
flops,operations per time,POSC,flops,1/s,1/s,0,1,1,0,
thousand per second,per time,POSC,kEuc/s,,1/s,0,1000,1,0,
megaflops,operations per time,POSC,Mflops,,1/s,0,1.00E+06,1,0,
per microvolt,per electric potential,POSC,1/uV,1/uV,1/V,0,1.00E+06,1,0,
per Volt,per electric potential,POSC,1/V,1/V,1/V,0,1,1,0,
megaampere,electric current,POSC,MA,MA,A,0,1.00E+06,1,0,
milliamp,electric current,POSC,mA,mA,A,0,0.001,1,0,
ampere,electric current,POSC,A,A,A,0,1,1,0,
picoampere,electric current,POSC,pA,pA,A,0,1.00E-12,1,0,
kiloampere,electric current,POSC,kA,kA,A,0,1000,1,0,
nanoampere,electric current,POSC,nA,nA,A,0,1.00E-09,1,0,
microampere,electric current,POSC,uA,uA,A,0,1.00E-06,1,0,
amperes metres squared,electromagnetic moment,POSC,A.m2,A.m2,A.m2,0,1,1,0,
amperes/metre,linear electric current density,POSC,A/m,A/m,A/m,0,1,1,0,
Ampere/millimetre,linear electric current density,POSC,A/mm,A/mm,A/m,0,1000,1,0,
gamma,linear electric current density,POSC,gamma,,A/m,0,0.000795775,1,0,
oersted,linear electric current density,POSC,Oe,Oe,A/m,0,79.5775,1,0,
ampere per square centimeter,current density,POSC,A/cm2,A/cm2,A/m2,0,10000,1,0,
ampere per square foot,current density,POSC,A/ft2,A/ft2,A/m2,0,1,0.092903,0,
