name,quantity_type,catalog_name,catalog_symbol,rp66_symbol,base_unit,a,b,c,d
astronomical unit,length,convertr,AU,,m,0,1.49598E+11,1,0
barleycorn ,length,convertr,barleycorn ,,m,0,5.29177E-11,1,0
"bohr, atomic unit of length",length,convertr,a0,,m,0,185.3184,1,0
cable length (imperial),length,convertr,uk cable,,m,0,185.2,1,0
cable length (International),length,convertr,int cable,,m,0,219.456,1,0
cable length (US),length,convertr,us cable,,m,0,0.5,1,0
cubit ,length,convertr,cubit ,,m,0,1.143,1,0
ell ,length,convertr,ell,,m,0,1.143,1,0
finger,length,convertr,finger,,m,0,0.022225,1,0
finger (cloth),length,convertr,finger (cloth),,m,0,0.1143,1,0
french; charriere,length,convertr,Ch,,m,0,0.0003,1,0
furlong,length,convertr,fur,,m,0,201.168,1,0
hand,length,convertr,hand,,m,0,0.1016,1,0
league (land),length,convertr,lea,,m,0,4828,1,0
light-day,length,convertr,light-day,,m,0,2.59021E+13,1,0
light-hour,length,convertr,light-hour,,m,0,1.07925E+12,1,0
light-minute,length,convertr,light-minute,,m,0,17987547480,1,0
light-second,length,convertr,light-second,,m,0,299792458,1,0
light-year,length,convertr,light-year,,m,0,9.46073E+15,1,0
line,length,convertr,ln,,m,0,0.002116,1,0
mickey,length,convertr,mickey,,m,0,0.000127,1,0
nail (cloth),length,convertr,nail (cloth),,m,0,0.05715,1,0
pace,length,convertr,pace,,m,0,0.762,1,0
palm,length,convertr,palm,,m,0,0.0762,1,0
parsec,length,convertr,pc,,m,0,3.08568E+16,1,0
barony,area,convertr,barony,,m2,0,16187420,1,0
board,area,convertr,bd,,m2,0,0.00774192,1,0
cord,area,convertr,cord,,m2,0,1.48644864 ,1,0
cuerda (PR Survey),area,convertr,cda,,m2,0,3930.395625 ,1,0
dunam,area,convertr,dunam,,m2,0,1000 ,1,0
guntha,area,convertr,guntha,,m2,0,101.17 ,1,0
hide,area,convertr,hide,,m2,0,500000,1,0
rood,area,convertr,ro,,m2,0,1011.7141056 ,1,0
section,area,convertr,section,,m2,0,2589988.11,1,0
